$PEDESTRIAN:NO,PEDTYPE,LENGTH,WIDTH,HEIGHT,COORDFRONTX,COORDFRONTY,COORDFRONTZ,COORDREARX,COORDREARY,COORDREARZ,PEDROUTSTA\PEDROUTDECSTA,ORIENTATION,SIMSEC
1,200,0.35,0.49,1.6,-343.898,-164.706,6,-344.212,-164.86,6,1,0.898 0.440,44
2,100,0.47,0.55,1.8,-346.986,-166.809,6,-347.438,-166.944,6,1,0.958 0.287,44
3,100,0.47,0.57,1.78,-344.541,-164.993,6,-344.937,-165.251,6,1,0.838 0.546,44
4,100,0.46,0.59,1.69,-347.747,-167.047,6,-348.205,-167.081,6,1,0.997 0.074,44
5,200,0.3,0.46,1.59,-354.616,-166.703,6,-354.899,-166.806,6,1,0.940 0.341,44
6,100,0.44,0.58,1.84,-355.45,-167.058,6,-355.766,-167.364,6,1,0.718 0.696,44
7,200,0.4,0.47,1.66,-363.24,-167.22,6,-363.639,-167.178,6,1,0.994 -0.106,44
8,200,0.32,0.46,1.59,-364.219,-167.116,6,-364.54,-167.16,6,1,0.991 0.135,44
9,100,0.4,0.64,1.8,-355.978,-167.614,6,-356.263,-167.895,6,1,0.712 0.702,44
10,100,0.45,0.59,1.77,-358.744,-170.16,6,-359.158,-170.329,6,1,0.926 0.378,44
11,100,0.45,0.6,1.89,-359.655,-170.497,6,-360.098,-170.545,6,1,0.994 0.108,44
12,100,0.44,0.6,1.83,-360.953,-170.476,6,-361.397,-170.501,6,1,0.998 0.055,44
13,100,0.45,0.6,1.88,-362.085,-170.606,6,-362.517,-170.729,6,1,0.962 0.273,44
14,100,0.45,0.56,1.72,-365.096,-170.861,6,-365.531,-170.732,6,1,0.959 -0.284,44
15,200,0.39,0.49,1.59,-369.177,-171.871,6,-369.486,-172.105,6,1,0.797 0.604,44
16,100,0.4,0.62,1.77,-369.942,-172.408,6,-370.297,-172.603,6,1,0.876 0.482,44
17,100,0.47,0.6,1.85,-370.629,-172.932,6,-371.086,-173.037,6,1,0.975 0.224,44
18,100,0.45,0.58,1.96,-371.394,-173.059,6,-371.843,-173.08,6,1,0.999 0.048,44
19,100,0.45,0.61,1.9,-375.393,-171.518,6,-375.742,-171.238,6,1,0.780 -0.626,44
20,200,0.41,0.5,1.63,-374.688,-171.686,6,-375.021,-171.449,6,1,0.815 -0.580,44
21,100,0.45,0.55,1.86,-375.701,-170.715,6,-376.056,-170.444,6,1,0.795 -0.606,44
22,100,0.41,0.65,1.78,-378.083,-169.227,6,-378.428,-169.013,6,1,0.849 -0.529,44
23,100,0.44,0.6,1.68,-379.099,-168.605,6,-379.505,-168.438,6,1,0.925 -0.381,44
24,200,0.39,0.5,1.65,-380.769,-167.829,6,-381.149,-167.748,6,1,0.978 -0.208,44
25,100,0.4,0.64,1.61,-380.665,-168.714,6,-381.023,-168.882,6,1,0.905 0.426,44
26,100,0.4,0.65,1.68,-381.681,-168.425,6,-382.044,-168.254,6,1,0.904 -0.427,44
