$PEDESTRIAN:NO,PEDTYPE,LENGTH,WIDTH,HEIGHT,COORDFRONTX,COORDFRONTY,COORDFRONTZ,COORDREARX,COORDREARY,COORDREARZ,PEDROUTSTA\PEDROUTDECSTA,ORIENTATION,SIMSEC
1,200,0.35,0.49,1.6,-367.765,-170.883,6,-368.064,-171.064,6,1,0.856 0.517,21
2,100,0.47,0.55,1.8,-369.421,-172.112,6,-369.812,-172.377,6,1,0.828 0.561,21
3,100,0.47,0.57,1.78,-369.98,-172.685,6,-370.422,-172.856,6,1,0.933 0.361,21
4,100,0.46,0.59,1.69,-370.806,-172.934,6,-371.255,-173.031,6,1,0.977 0.212,21
5,200,0.3,0.46,1.59,-374.96,-171.516,6,-375.207,-171.343,6,1,0.820 -0.573,21
6,100,0.44,0.58,1.84,-375.884,-170.817,6,-376.248,-170.571,6,1,0.829 -0.560,21
7,200,0.4,0.47,1.66,-377.383,-170.032,6,-377.683,-169.765,6,1,0.747 -0.664,21
8,200,0.32,0.46,1.59,-378.377,-168.614,6,-378.649,-168.437,6,1,0.838 -0.546,21
9,100,0.4,0.64,1.8,-377.406,-169.357,6,-377.767,-169.183,6,1,0.900 -0.436,21
10,100,0.45,0.59,1.77,-379.03,-169.149,6,-379.432,-168.954,6,1,0.900 -0.437,21
11,100,0.45,0.6,1.89,-380.924,-167.936,6,-381.36,-167.842,6,1,0.978 -0.210,21
