$PEDESTRIAN:NO,PEDTYPE,LENGTH,WIDTH,HEIGHT,COORDFRONTX,COORDFRONTY,COORDFRONTZ,COORDREARX,COORDREARY,COORDREARZ,PEDROUTSTA\PEDROUTDECSTA,ORIENTATION,SIMSEC
1,200,0.35,0.49,1.6,-332.011,-161.018,6,-332.331,-161.159,6,1,0.915 0.404,55
2,100,0.47,0.55,1.8,-335.977,-163.196,0,-336.367,-163.461,0,1,0.827 0.562,55
3,100,0.47,0.57,1.78,-332.433,-161.617,6,-332.889,-161.745,6,1,0.963 0.271,55
4,100,0.46,0.59,1.69,-336.635,-163.656,6,-337.071,-163.8,6,1,0.950 0.313,55
5,200,0.3,0.46,1.59,-344.233,-164.877,6,-344.502,-165.015,6,1,0.890 0.455,55
6,100,0.44,0.58,1.84,-345.064,-165.837,6,-345.312,-166.2,6,1,0.564 0.826,55
7,200,0.4,0.47,1.66,-355.699,-166.319,6,-356.1,-166.322,6,1,1.000 0.006,55
8,200,0.32,0.46,1.59,-356.638,-166.516,6,-356.962,-166.5,6,1,0.999 -0.048,55
9,100,0.4,0.64,1.8,-344.807,-164.778,6,-345.134,-165.009,6,1,0.817 0.576,55
10,100,0.45,0.59,1.77,-348.082,-167.105,6,-348.529,-167.099,6,1,1.000 -0.012,55
11,100,0.45,0.6,1.89,-348.968,-166.939,6,-349.412,-166.899,6,1,0.996 -0.090,55
12,100,0.44,0.6,1.83,-350.055,-166.826,6,-350.499,-166.789,6,1,0.997 -0.082,55
13,100,0.45,0.6,1.88,-351.04,-166.734,6,-351.483,-166.664,6,1,0.988 -0.156,55
14,100,0.45,0.56,1.72,-354.266,-166.578,6,-354.695,-166.723,6,1,0.947 0.320,55
15,200,0.39,0.49,1.59,-359.36,-170.342,6,-359.737,-170.429,6,1,0.974 0.226,55
16,100,0.4,0.62,1.77,-360.235,-170.508,6,-360.64,-170.517,6,1,1.000 0.021,55
17,100,0.47,0.6,1.85,-361.106,-170.576,6,-361.575,-170.562,6,1,1.000 -0.031,55
18,100,0.45,0.58,1.96,-361.925,-170.585,6,-362.373,-170.634,6,1,0.994 0.108,55
19,100,0.45,0.61,1.9,-364.08,-171.001,6,-364.526,-170.965,6,1,0.997 -0.082,55
20,200,0.41,0.5,1.63,-365.841,-168.461,6,-366.139,-168.741,6,1,0.729 0.684,55
21,100,0.45,0.55,1.86,-365.966,-167.676,6,-366.333,-167.929,6,1,0.823 0.568,55
22,100,0.41,0.65,1.78,-368.336,-171.265,6,-368.659,-171.511,6,1,0.796 0.606,55
23,100,0.44,0.6,1.68,-369.206,-172.004,6,-369.553,-172.272,6,1,0.792 0.611,55
24,200,0.39,0.5,1.65,-373.161,-172.706,6,-373.506,-172.527,6,1,0.888 -0.461,55
25,100,0.4,0.64,1.61,-371.022,-172.913,6,-371.413,-172.977,6,1,0.987 0.161,55
26,100,0.4,0.65,1.68,-374.14,-172.119,6,-374.495,-171.933,6,1,0.886 -0.465,55
27,100,0.43,0.57,1.86,-375.017,-171.265,6,-375.368,-171.02,6,1,0.820 -0.572,55
28,200,0.32,0.44,1.61,-378.48,-168.921,6,-378.742,-168.741,6,1,0.823 -0.568,55
29,100,0.42,0.63,1.94,-375.792,-171.436,6,-376.139,-171.195,6,1,0.821 -0.571,55
30,100,0.43,0.61,1.65,-379.366,-168.688,6,-379.788,-168.612,6,1,0.984 -0.177,55
