$PEDESTRIAN:NO,PEDTYPE,LENGTH,WIDTH,HEIGHT,COORDFRONTX,COORDFRONTY,COORDFRONTZ,COORDREARX,COORDREARY,COORDREARZ,PEDROUTSTA\PEDROUTDECSTA,ORIENTATION,SIMSEC
1,200,0.35,0.49,1.6,-328.973,-144.913,6,-328.728,-145.163,6,1,-0.699 0.715,80
2,100,0.47,0.55,1.8,-325.536,-148.368,6,-325.185,-148.682,6,1,-0.746 0.666,80
3,100,0.47,0.57,1.78,-332.448,-136.987,4,-332.324,-137.443,4,1,-0.263 0.965,80
4,100,0.46,0.59,1.69,-329.021,-144.042,6,-328.629,-144.281,6,1,-0.854 0.520,80
5,200,0.3,0.46,1.59,-321.449,-156.706,6,-321.73,-156.816,6,1,0.931 0.366,80
6,100,0.44,0.58,1.84,-322.489,-157.143,6,-322.901,-157.295,6,1,0.938 0.345,80
7,200,0.4,0.47,1.66,-337.304,-163.765,6,-337.698,-163.843,6,1,0.981 0.195,80
8,200,0.32,0.46,1.59,-338.18,-163.909,6,-338.501,-163.954,6,1,0.990 0.141,80
9,100,0.4,0.64,1.8,-324.898,-147.651,6,-324.609,-147.928,6,1,-0.721 0.693,80
10,100,0.45,0.59,1.77,-323.938,-157.725,6,-324.357,-157.88,6,1,0.938 0.347,80
11,100,0.45,0.6,1.89,-324.869,-157.691,6,-325.275,-157.874,6,1,0.911 0.413,80
12,100,0.44,0.6,1.83,-325.561,-158.636,6,-325.979,-158.79,6,1,0.938 0.346,80
13,100,0.45,0.6,1.88,-326.558,-158.611,6,-326.973,-158.784,6,1,0.923 0.384,80
14,100,0.45,0.56,1.72,-328.876,-159.778,6,-329.295,-159.95,6,1,0.924 0.381,80
15,200,0.39,0.49,1.59,-340.584,-164.17,6,-340.969,-164.205,6,1,0.996 0.091,80
16,100,0.4,0.62,1.77,-341.336,-164.864,6,-341.736,-164.93,6,1,0.987 0.163,80
17,100,0.47,0.6,1.85,-341.156,-163.63,6,-341.621,-163.693,6,1,0.991 0.133,80
18,100,0.45,0.58,1.96,-341.904,-164.167,6,-342.352,-164.21,6,1,0.996 0.094,80
19,100,0.45,0.61,1.9,-342.809,-164.366,6,-343.248,-164.452,6,1,0.981 0.193,80
20,200,0.41,0.5,1.63,-345.295,-165.521,6,-345.55,-165.841,6,1,0.624 0.782,80
21,100,0.45,0.55,1.86,-334.04,-161.945,6,-334.439,-162.144,6,1,0.894 0.447,80
22,100,0.41,0.65,1.78,-345.663,-166.369,6,-345.96,-166.646,6,1,0.730 0.683,80
23,100,0.44,0.6,1.68,-346.417,-166.157,6,-346.786,-166.396,6,1,0.839 0.545,80
24,200,0.39,0.5,1.65,-350.786,-166.715,6,-351.173,-166.684,6,1,0.997 -0.080,80
25,100,0.4,0.64,1.61,-347.855,-167.179,6,-348.251,-167.164,6,1,0.999 -0.038,80
26,100,0.4,0.65,1.68,-352.853,-166.414,6,-353.249,-166.355,6,1,0.989 -0.148,80
27,100,0.43,0.57,1.86,-354.05,-166.342,6,-354.477,-166.31,6,1,0.997 -0.074,80
28,200,0.32,0.44,1.61,-360.191,-170.477,6,-360.509,-170.494,6,1,0.999 0.053,80
29,100,0.42,0.63,1.94,-351.356,-167.254,6,-351.767,-167.153,6,1,0.971 -0.239,80
30,100,0.43,0.61,1.65,-360.676,-167.138,6,-361.098,-167.216,6,1,0.983 0.181,80
31,200,0.35,0.44,1.55,-360.88,-170.607,6,-361.228,-170.586,6,1,0.998 -0.060,80
32,100,0.43,0.59,1.77,-361.479,-167.302,6,-361.913,-167.312,6,1,1.000 0.024,80
33,200,0.41,0.5,1.69,-365.78,-170.673,6,-366.185,-170.598,6,1,0.983 -0.181,80
34,200,0.38,0.51,1.57,-367.672,-171.006,6,-368.017,-171.17,6,1,0.902 0.431,80
35,100,0.42,0.59,1.84,-366.831,-170.389,6,-367.227,-170.541,6,1,0.933 0.359,80
36,100,0.45,0.62,1.95,-369.095,-171.938,6,-369.451,-172.219,6,1,0.784 0.621,80
37,100,0.43,0.59,1.61,-369.863,-172.159,6,-370.218,-172.41,6,1,0.816 0.577,80
38,200,0.34,0.45,1.56,-374.164,-172.075,6,-374.446,-171.882,6,1,0.825 -0.566,80
39,100,0.42,0.58,1.59,-370.701,-172.917,6,-371.106,-173.01,6,1,0.975 0.222,80
40,200,0.3,0.45,1.56,-375.909,-170.83,6,-376.146,-170.648,6,1,0.793 -0.609,80
41,200,0.33,0.47,1.69,-376.984,-169.663,6,-377.216,-169.429,6,1,0.705 -0.710,80
42,100,0.41,0.65,1.64,-376.635,-170.664,6,-376.97,-170.43,6,1,0.820 -0.573,80
43,200,0.35,0.44,1.67,-378.093,-169.589,6,-378.361,-169.37,6,1,0.776 -0.631,80
44,100,0.47,0.57,1.9,-377.582,-168.751,6,-377.979,-168.5,6,1,0.845 -0.535,80
45,200,0.41,0.49,1.74,-379.647,-168.502,6,-380.057,-168.477,6,1,0.998 -0.061,80
46,200,0.36,0.49,1.68,-378.79,-168.947,6,-379.136,-168.854,6,1,0.966 -0.259,80
47,200,0.36,0.44,1.68,-380.846,-168.853,6,-381.136,-169.062,6,1,0.812 0.584,80
48,100,0.46,0.56,1.72,-380.224,-168.666,6,-380.648,-168.474,6,1,0.910 -0.414,80
49,100,0.44,0.6,1.66,-380.455,-167.806,6,-380.858,-167.98,6,1,0.918 0.396,80
