$PEDESTRIAN:NO,PEDTYPE,LENGTH,WIDTH,HEIGHT,COORDFRONTX,COORDFRONTY,COORDFRONTZ,COORDREARX,COORDREARY,COORDREARZ,PEDROUTSTA\PEDROUTDECSTA,ORIENTATION,SIMSEC
1,200,0.35,0.49,1.6,-356.427,-168.041,6,-356.672,-168.291,6,1,0.700 0.714,32.1
2,100,0.47,0.55,1.8,-359.445,-166.782,6,-359.896,-166.92,6,1,0.957 0.292,32.1
3,100,0.47,0.57,1.78,-356.802,-168.661,6,-357.137,-168.994,6,1,0.709 0.705,32.1
4,100,0.46,0.59,1.69,-360.233,-167.021,6,-360.668,-167.169,6,1,0.947 0.322,32.1
5,200,0.3,0.46,1.59,-365.121,-170.793,6,-365.414,-170.719,6,1,0.969 -0.245,32.1
6,100,0.44,0.58,1.84,-365.992,-170.532,6,-366.429,-170.488,6,1,0.995 -0.101,32.1
7,200,0.4,0.47,1.66,-370.447,-172.621,6,-370.815,-172.782,6,1,0.916 0.400,32.1
8,200,0.32,0.46,1.59,-371.621,-172.844,6,-371.931,-172.75,6,1,0.957 -0.289,32.1
9,100,0.4,0.64,1.8,-366.702,-170.589,6,-367.092,-170.68,6,1,0.974 0.228,32.1
10,100,0.45,0.59,1.77,-370.839,-173.376,6,-371.284,-173.414,6,1,0.996 0.084,32.1
11,100,0.45,0.6,1.89,-371.857,-173.37,6,-372.294,-173.286,6,1,0.982 -0.190,32.1
12,100,0.44,0.6,1.83,-372.783,-172.853,6,-373.201,-172.701,6,1,0.939 -0.343,32.1
13,100,0.45,0.6,1.88,-374.205,-172.194,6,-374.577,-171.942,6,1,0.827 -0.562,32.1
14,100,0.45,0.56,1.72,-376.313,-170.58,6,-376.672,-170.303,6,1,0.792 -0.611,32.1
15,200,0.39,0.49,1.59,-378.378,-168.932,6,-378.711,-168.735,6,1,0.860 -0.510,32.1
16,100,0.4,0.62,1.77,-379.174,-168.74,6,-379.557,-168.607,6,1,0.945 -0.326,32.1
17,100,0.47,0.6,1.85,-380.043,-168.525,6,-380.493,-168.659,6,1,0.958 0.286,32.1
18,100,0.45,0.58,1.96,-382.189,-167.595,6,-382.547,-167.322,6,1,0.795 -0.607,32.1
