$PEDESTRIAN:NO,PEDTYPE,LENGTH,WIDTH,HEIGHT,COORDFRONTX,COORDFRONTY,COORDFRONTZ,COORDREARX,COORDREARY,COORDREARZ,PEDROUTSTA\PEDROUTDECSTA,ORIENTATION,SIMSEC
1,200,0.35,0.49,1.6,-360.177,-170.479,6,-360.527,-170.493,6,1,0.999 0.042,28
2,100,0.47,0.55,1.8,-363.841,-167.181,6,-364.302,-167.278,6,1,0.979 0.206,28
3,100,0.47,0.57,1.78,-361.593,-170.478,6,-362.056,-170.578,6,1,0.977 0.211,28
4,100,0.46,0.59,1.69,-364.632,-167.305,6,-365.045,-167.505,6,1,0.901 0.434,28
5,200,0.3,0.46,1.59,-368.85,-171.575,6,-369.092,-171.755,6,1,0.803 0.596,28
6,100,0.44,0.58,1.84,-369.584,-172.299,6,-369.959,-172.528,6,1,0.853 0.521,28
7,200,0.4,0.47,1.66,-373.513,-172.554,6,-373.875,-172.38,6,1,0.902 -0.432,28
8,200,0.32,0.46,1.59,-374.047,-171.618,6,-374.307,-171.423,6,1,0.800 -0.600,28
9,100,0.4,0.64,1.8,-370.366,-172.728,6,-370.737,-172.88,6,1,0.926 0.378,28
10,100,0.45,0.59,1.77,-374.23,-172.545,6,-374.624,-172.334,6,1,0.882 -0.472,28
11,100,0.45,0.6,1.89,-374.773,-171.697,6,-375.121,-171.42,6,1,0.783 -0.622,28
12,100,0.44,0.6,1.83,-376.183,-170.701,6,-376.53,-170.423,6,1,0.780 -0.626,28
13,100,0.45,0.6,1.88,-378.084,-169.192,6,-378.475,-168.97,6,1,0.869 -0.494,28
14,100,0.45,0.56,1.72,-380.291,-168.636,6,-380.74,-168.697,6,1,0.991 0.136,28
