$PEDESTRIAN:NO,PEDTYPE,LENGTH,WIDTH,HEIGHT,COORDFRONTX,COORDFRONTY,COORDFRONTZ,COORDREARX,COORDREARY,COORDREARZ,PEDROUTSTA\PEDROUTDECSTA,ORIENTATION,SIMSEC
1,200,0.35,0.49,1.6,-321.102,-152.821,6,-320.906,-153.111,6,1,-0.561 0.828,70
2,100,0.47,0.55,1.8,-321.226,-156.624,6,-321.675,-156.768,6,1,0.952 0.305,70
3,100,0.47,0.57,1.78,-324.588,-149.032,6,-324.258,-149.371,6,1,-0.697 0.717,70
4,100,0.46,0.59,1.69,-320.145,-154.848,6,-320.134,-155.307,6,1,-0.024 1.000,70
5,200,0.3,0.46,1.59,-330.612,-160.483,6,-330.89,-160.601,6,1,0.921 0.389,70
6,100,0.44,0.58,1.84,-331.743,-160.866,6,-332.153,-161.026,6,1,0.932 0.363,70
7,200,0.4,0.47,1.66,-344.783,-165.164,6,-345.107,-165.401,6,1,0.807 0.591,70
8,200,0.32,0.46,1.59,-345.456,-165.743,6,-345.703,-165.953,6,1,0.761 0.648,70
9,100,0.4,0.64,1.8,-323.921,-157.668,6,-324.291,-157.821,6,1,0.923 0.384,70
10,100,0.45,0.59,1.77,-333.518,-161.71,6,-333.931,-161.882,6,1,0.923 0.385,70
11,100,0.45,0.6,1.89,-334.346,-162.048,6,-334.735,-162.265,6,1,0.874 0.487,70
12,100,0.44,0.6,1.83,-335.2,-162.636,6,-335.528,-162.937,6,1,0.737 0.676,70
13,100,0.45,0.6,1.88,-336.001,-163.287,0,-336.375,-163.536,0,1,0.831 0.556,70
14,100,0.45,0.56,1.72,-338.535,-164.031,6,-338.988,-164.034,6,1,1.000 0.007,70
15,200,0.39,0.49,1.59,-348.1,-167.179,6,-348.487,-167.189,6,1,1.000 0.026,70
16,100,0.4,0.62,1.77,-348.937,-167.392,6,-349.342,-167.383,6,1,1.000 -0.022,70
17,100,0.47,0.6,1.85,-349.064,-166.572,6,-349.515,-166.442,6,1,0.961 -0.276,70
18,100,0.45,0.58,1.96,-349.709,-167.37,6,-350.139,-167.239,6,1,0.956 -0.292,70
19,100,0.45,0.61,1.9,-350.745,-166.773,6,-351.193,-166.773,6,1,1.000 0.001,70
20,200,0.41,0.5,1.63,-353.358,-166.389,6,-353.764,-166.342,6,1,0.993 -0.115,70
21,100,0.45,0.55,1.86,-345.819,-166.341,6,-346.195,-166.579,6,1,0.845 0.535,70
22,100,0.41,0.65,1.78,-354.183,-166.539,6,-354.581,-166.621,6,1,0.980 0.201,70
23,100,0.44,0.6,1.68,-355.151,-166.781,6,-355.518,-167.022,6,1,0.837 0.547,70
24,200,0.39,0.5,1.65,-359.341,-170.394,6,-359.721,-170.474,6,1,0.979 0.206,70
25,100,0.4,0.64,1.61,-357.373,-166.481,6,-357.765,-166.536,6,1,0.990 0.138,70
26,100,0.4,0.65,1.68,-361.971,-167.326,6,-362.37,-167.301,6,1,0.998 -0.063,70
27,100,0.43,0.57,1.86,-363.215,-167.216,6,-363.637,-167.146,6,1,0.987 -0.164,70
28,200,0.32,0.44,1.61,-368.205,-171.111,6,-368.466,-171.293,6,1,0.822 0.570,70
29,100,0.42,0.63,1.94,-360.057,-170.41,6,-360.478,-170.461,6,1,0.993 0.120,70
30,100,0.43,0.61,1.65,-368.88,-171.619,6,-369.223,-171.878,6,1,0.798 0.602,70
31,200,0.35,0.44,1.55,-369.35,-172.295,6,-369.649,-172.476,6,1,0.856 0.517,70
32,100,0.43,0.59,1.77,-370.034,-172.527,6,-370.389,-172.776,6,1,0.819 0.574,70
33,200,0.41,0.5,1.69,-373.553,-172.459,6,-373.907,-172.25,6,1,0.862 -0.507,70
34,200,0.38,0.51,1.57,-375.125,-171.572,6,-375.434,-171.348,6,1,0.809 -0.587,70
35,100,0.42,0.59,1.84,-374.348,-172.002,6,-374.718,-171.796,6,1,0.873 -0.488,70
36,100,0.45,0.62,1.95,-377.065,-170.035,6,-377.424,-169.758,6,1,0.792 -0.610,70
37,100,0.43,0.59,1.61,-378.287,-169.074,6,-378.676,-168.88,6,1,0.895 -0.446,70
38,200,0.34,0.45,1.56,-381.251,-167.423,6,-381.557,-167.27,6,1,0.895 -0.446,70
39,100,0.42,0.58,1.59,-380.615,-168.682,6,-381.013,-168.802,6,1,0.957 0.289,70
