$PEDESTRIAN:NO,PEDTYPE,LENGTH,WIDTH,HEIGHT,COORDFRONTX,COORDFRONTY,COORDFRONTZ,COORDREARX,COORDREARY,COORDREARZ,PEDROUTSTA\PEDROUTDECSTA,ORIENTATION,SIMSEC
1,200,0.35,0.49,1.6,-358.129,-169.712,6,-358.415,-169.913,6,1,0.818 0.575,30
2,100,0.47,0.55,1.8,-361.631,-167.357,6,-362.103,-167.362,6,1,1.000 0.011,30
3,100,0.47,0.57,1.78,-358.843,-170.218,6,-359.297,-170.349,6,1,0.961 0.278,30
4,100,0.46,0.59,1.69,-362.419,-167.352,6,-362.872,-167.281,6,1,0.988 -0.156,30
5,200,0.3,0.46,1.59,-367.156,-170.55,6,-367.437,-170.662,6,1,0.929 0.371,30
6,100,0.44,0.58,1.84,-367.996,-171.088,6,-368.352,-171.346,6,1,0.810 0.586,30
7,200,0.4,0.47,1.66,-372.044,-172.961,6,-372.444,-172.93,6,1,0.997 -0.077,30
8,200,0.32,0.46,1.59,-372.822,-172.297,6,-373.113,-172.153,6,1,0.896 -0.443,30
9,100,0.4,0.64,1.8,-368.527,-171.558,6,-368.853,-171.79,6,1,0.814 0.580,30
10,100,0.45,0.59,1.77,-372.785,-173.113,6,-373.223,-173.025,6,1,0.980 -0.197,30
11,100,0.45,0.6,1.89,-373.508,-172.705,6,-373.914,-172.522,6,1,0.912 -0.410,30
12,100,0.44,0.6,1.83,-374.489,-171.795,6,-374.865,-171.558,6,1,0.846 -0.533,30
13,100,0.45,0.6,1.88,-376.131,-170.755,6,-376.48,-170.472,6,1,0.778 -0.629,30
14,100,0.45,0.56,1.72,-378.191,-169.199,6,-378.582,-168.971,6,1,0.864 -0.503,30
15,200,0.39,0.49,1.59,-380.033,-168.219,6,-380.408,-168.123,6,1,0.969 -0.248,30
16,100,0.4,0.62,1.77,-380.8,-168.953,6,-381.005,-169.303,6,1,0.505 0.863,30
