$PEDESTRIAN:NO,PEDTYPE,LENGTH,WIDTH,HEIGHT,COORDFRONTX,COORDFRONTY,COORDFRONTZ,COORDREARX,COORDREARY,COORDREARZ,PEDROUTSTA\PEDROUTDECSTA,ORIENTATION,SIMSEC
1,200,0.35,0.49,1.6,-347.852,-166.979,6,-348.201,-167.002,6,1,0.998 0.065,40
2,100,0.47,0.55,1.8,-351.236,-166.669,6,-351.702,-166.602,6,1,0.990 -0.141,40
3,100,0.47,0.57,1.78,-348.503,-166.801,6,-348.975,-166.775,6,1,0.999 -0.054,40
4,100,0.46,0.59,1.69,-351.992,-166.608,6,-352.442,-166.516,6,1,0.980 -0.199,40
5,200,0.3,0.46,1.59,-357.643,-169.245,6,-357.862,-169.452,6,1,0.728 0.686,40
6,100,0.44,0.58,1.84,-358.321,-169.9,6,-358.692,-170.135,6,1,0.844 0.536,40
7,200,0.4,0.47,1.66,-365.987,-168.267,6,-366.256,-168.565,6,1,0.668 0.744,40
8,200,0.32,0.46,1.59,-367.02,-168.728,6,-367.244,-168.963,6,1,0.690 0.724,40
9,100,0.4,0.64,1.8,-358.971,-170.332,6,-359.352,-170.453,6,1,0.953 0.304,40
10,100,0.45,0.59,1.77,-363.136,-170.864,6,-363.578,-170.934,6,1,0.987 0.158,40
11,100,0.45,0.6,1.89,-364.106,-170.985,6,-364.55,-170.948,6,1,0.996 -0.084,40
12,100,0.44,0.6,1.83,-365.53,-170.717,6,-365.974,-170.701,6,1,0.999 -0.036,40
13,100,0.45,0.6,1.88,-366.684,-170.656,6,-367.119,-170.769,6,1,0.968 0.252,40
14,100,0.45,0.56,1.72,-368.954,-171.741,6,-369.305,-172.028,6,1,0.775 0.633,40
15,200,0.39,0.49,1.59,-372.497,-172.883,6,-372.865,-172.765,6,1,0.952 -0.305,40
16,100,0.4,0.62,1.77,-373.381,-172.544,6,-373.744,-172.365,6,1,0.897 -0.442,40
17,100,0.47,0.6,1.85,-374.016,-171.969,6,-374.415,-171.721,6,1,0.850 -0.527,40
18,100,0.45,0.58,1.96,-374.804,-171.835,6,-375.174,-171.578,6,1,0.821 -0.571,40
19,100,0.45,0.61,1.9,-378.583,-169.141,6,-378.97,-168.916,6,1,0.865 -0.502,40
20,200,0.41,0.5,1.63,-377.904,-169.305,6,-378.241,-169.074,6,1,0.824 -0.567,40
21,100,0.45,0.55,1.86,-379.237,-168.629,6,-379.678,-168.56,6,1,0.988 -0.153,40
22,100,0.41,0.65,1.78,-381.967,-167.944,6,-382.368,-167.88,6,1,0.988 -0.156,40
