$PEDESTRIAN:NO,PEDTYPE,LENGTH,WIDTH,HEIGHT,COORDFRONTX,COORDFRONTY,COORDFRONTZ,COORDREARX,COORDREARY,COORDREARZ,PEDROUTSTA\PEDROUTDECSTA,ORIENTATION,SIMSEC
1,200,0.35,0.49,1.6,-354.72,-166.704,6,-355.04,-166.843,6,1,0.917 0.398,34
2,100,0.47,0.55,1.8,-357.493,-166.508,6,-357.963,-166.55,6,1,0.996 0.090,34
3,100,0.47,0.57,1.78,-355.334,-167.026,6,-355.669,-167.361,6,1,0.708 0.706,34
4,100,0.46,0.59,1.69,-358.259,-166.634,6,-358.718,-166.657,6,1,0.999 0.050,34
5,200,0.3,0.46,1.59,-363.239,-170.9,6,-363.539,-170.939,6,1,0.991 0.131,34
6,100,0.44,0.58,1.84,-364.12,-170.937,6,-364.555,-170.876,6,1,0.990 -0.140,34
7,200,0.4,0.47,1.66,-369.216,-171.768,6,-369.527,-172.022,6,1,0.775 0.632,34
8,200,0.32,0.46,1.59,-370.42,-172.486,6,-370.71,-172.631,6,1,0.895 0.445,34
9,100,0.4,0.64,1.8,-364.834,-170.991,6,-365.214,-170.864,6,1,0.949 -0.316,34
10,100,0.45,0.59,1.77,-369.267,-172.582,6,-369.638,-172.832,6,1,0.829 0.559,34
11,100,0.45,0.6,1.89,-370.145,-173.338,6,-370.566,-173.484,6,1,0.945 0.327,34
12,100,0.44,0.6,1.83,-371.127,-172.951,6,-371.571,-172.976,6,1,0.998 0.057,34
13,100,0.45,0.6,1.88,-372.333,-173.049,6,-372.773,-172.958,6,1,0.979 -0.204,34
14,100,0.45,0.56,1.72,-374.625,-171.787,6,-375,-171.533,6,1,0.828 -0.561,34
15,200,0.39,0.49,1.59,-377.026,-169.954,6,-377.328,-169.712,6,1,0.781 -0.625,34
16,100,0.4,0.62,1.77,-377.78,-169.556,6,-378.103,-169.312,6,1,0.798 -0.603,34
17,100,0.47,0.6,1.85,-378.466,-169.026,6,-378.875,-168.798,6,1,0.874 -0.487,34
18,100,0.45,0.58,1.96,-380.198,-168.247,6,-380.628,-168.116,6,1,0.956 -0.292,34
