$PEDESTRIAN:NO,PEDTYPE,LENGTH,WIDTH,HEIGHT,COORDFRONTX,COORDFRONTY,COORDFRONTZ,COORDREARX,COORDREARY,COORDREARZ,PEDROUTSTA\PEDROUTDECSTA,ORIENTATION,SIMSEC
18,100,0.45,0.58,1.96,-333.256,-161.471,6,-333.678,-161.625,6,1,0.939 0.343,90.2
19,100,0.45,0.61,1.9,-335,-162.231,6,-335.374,-162.475,6,1,0.838 0.546,90.2
20,200,0.41,0.5,1.63,-336.777,-163.733,6,-337.157,-163.885,6,1,0.928 0.371,90.2
21,100,0.45,0.55,1.86,-320.477,-156.298,6,-320.839,-156.558,6,1,0.812 0.583,90.2
22,100,0.41,0.65,1.78,-337.607,-164.214,6,-338.006,-164.289,6,1,0.983 0.183,90.2
23,100,0.44,0.6,1.68,-338.156,-163.668,6,-338.594,-163.709,6,1,0.996 0.093,90.2
24,200,0.39,0.5,1.65,-342.803,-164.403,6,-343.185,-164.472,6,1,0.984 0.180,90.2
25,100,0.4,0.64,1.61,-339.345,-164.026,6,-339.74,-164.038,6,1,1.000 0.030,90.2
26,100,0.4,0.65,1.68,-344.164,-164.709,6,-344.514,-164.902,6,1,0.876 0.482,90.2
27,100,0.43,0.57,1.86,-345.013,-165.38,6,-345.309,-165.69,6,1,0.690 0.724,90.2
28,200,0.32,0.44,1.61,-353.894,-166.488,6,-354.21,-166.52,6,1,0.995 0.102,90.2
29,100,0.42,0.63,1.94,-340.133,-163.923,6,-340.556,-163.943,6,1,0.999 0.048,90.2
30,100,0.43,0.61,1.65,-349.916,-166.846,6,-350.343,-166.804,6,1,0.995 -0.100,90.2
31,200,0.35,0.44,1.55,-354.559,-166.603,6,-354.889,-166.713,6,1,0.949 0.316,90.2
32,100,0.43,0.59,1.77,-350.749,-166.846,6,-351.177,-166.774,6,1,0.986 -0.165,90.2
33,200,0.41,0.5,1.69,-357.529,-169.201,6,-357.833,-169.478,6,1,0.739 0.674,90.2
34,200,0.38,0.51,1.57,-358.974,-170.335,6,-359.346,-170.425,6,1,0.972 0.236,90.2
35,100,0.42,0.59,1.84,-358.184,-169.845,6,-358.537,-170.08,6,1,0.832 0.555,90.2
36,100,0.45,0.62,1.95,-360.831,-170.603,6,-361.282,-170.56,6,1,0.995 -0.095,90.2
37,100,0.43,0.59,1.61,-358.737,-166.606,6,-359.163,-166.693,6,1,0.980 0.199,90.2
38,200,0.34,0.45,1.56,-366.379,-169.343,6,-366.548,-169.64,6,1,0.494 0.869,90.2
39,100,0.42,0.58,1.59,-361.756,-170.466,6,-362.165,-170.538,6,1,0.985 0.173,90.2
40,200,0.3,0.45,1.56,-369.197,-171.853,6,-369.438,-172.03,6,1,0.807 0.591,90.2
41,200,0.33,0.47,1.69,-372.295,-173.477,6,-372.584,-173.319,6,1,0.877 -0.480,90.2
42,100,0.41,0.65,1.64,-369.918,-173.169,6,-370.283,-173.354,6,1,0.892 0.453,90.2
43,200,0.35,0.44,1.67,-373.387,-172.906,6,-373.732,-172.891,6,1,0.999 -0.044,90.2
44,100,0.47,0.57,1.9,-369.615,-172.245,6,-369.992,-172.525,6,1,0.803 0.596,90.2
45,200,0.41,0.49,1.74,-373.839,-172.218,6,-374.201,-172.022,6,1,0.880 -0.475,90.2
46,200,0.36,0.49,1.68,-371.307,-173.032,6,-371.664,-172.994,6,1,0.995 -0.105,90.2
47,200,0.36,0.44,1.68,-375.955,-170.852,6,-376.255,-170.656,6,1,0.838 -0.546,90.2
48,100,0.46,0.56,1.72,-372.108,-172.807,6,-372.554,-172.678,6,1,0.961 -0.278,90.2
49,100,0.44,0.6,1.66,-374.466,-171.918,6,-374.858,-171.72,6,1,0.893 -0.450,90.2
50,200,0.3,0.48,1.58,-378.403,-169.338,6,-378.663,-169.2,6,1,0.884 -0.468,90.2
51,100,0.44,0.56,1.66,-377.471,-169.587,6,-377.812,-169.312,6,1,0.779 -0.627,90.2
52,200,0.31,0.44,1.65,-379.572,-168.323,6,-379.88,-168.296,6,1,0.996 -0.088,90.2
53,100,0.46,0.59,1.71,-380.208,-168.591,6,-380.655,-168.714,6,1,0.964 0.266,90.2
54,100,0.47,0.56,1.67,-382.614,-166.907,6,-382.392,-167.321,6,1,-0.473 0.881,90.2
