$PEDESTRIAN:NO,PEDTYPE,LENGTH,WIDTH,HEIGHT,COORDFRONTX,COORDFRONTY,COORDFRONTZ,COORDREARX,COORDREARY,COORDREARZ,PEDROUTSTA\PEDROUTDECSTA,ORIENTATION,SIMSEC
1,200,0.35,0.49,1.6,-332.598,-135.397,4,-332.552,-135.744,4,1,-0.133 0.991,90.2
2,100,0.47,0.55,1.8,-331.466,-139.894,4.933,-331.312,-140.34,4.933,1,-0.328 0.945,90.2
3,100,0.47,0.57,1.78,-332.438,-122.132,1.65,-332.407,-122.604,1.65,1,-0.064 0.998,90.2
4,100,0.46,0.59,1.69,-332.772,-130.102,2.95,-332.733,-130.56,2.95,1,-0.086 0.996,90.2
5,200,0.3,0.46,1.59,-324.786,-148.941,6,-324.578,-149.16,6,1,-0.689 0.724,90.2
6,100,0.44,0.58,1.84,-323.959,-149.598,6,-323.656,-149.916,6,1,-0.690 0.723,90.2
7,200,0.4,0.47,1.66,-330.109,-160.275,6,-330.48,-160.429,6,1,0.924 0.382,90.2
8,200,0.32,0.46,1.59,-331.089,-160.137,6,-331.379,-160.282,6,1,0.894 0.448,90.2
9,100,0.4,0.64,1.8,-332.522,-136.062,4,-332.506,-136.462,4,1,-0.039 0.999,90.2
10,100,0.45,0.59,1.77,-323.078,-150.639,6,-322.77,-150.963,6,1,-0.690 0.724,90.2
11,100,0.45,0.6,1.89,-322.394,-151.261,6,-322.113,-151.607,6,1,-0.629 0.777,90.2
12,100,0.44,0.6,1.83,-321.672,-151.986,6,-321.378,-152.32,6,1,-0.661 0.750,90.2
13,100,0.45,0.6,1.88,-321.177,-152.664,6,-320.927,-153.038,6,1,-0.555 0.832,90.2
14,100,0.45,0.56,1.72,-320.217,-154.602,6,-320.181,-155.054,6,1,-0.079 0.997,90.2
15,200,0.39,0.49,1.59,-332.507,-161.696,6,-332.874,-161.818,6,1,0.949 0.315,90.2
16,100,0.4,0.62,1.77,-334.259,-162.238,6,-334.614,-162.432,6,1,0.878 0.479,90.2
17,100,0.47,0.6,1.85,-332.844,-160.538,6,-333.271,-160.733,6,1,0.909 0.416,90.2
