$PEDESTRIAN:NO,PEDTYPE,LENGTH,WIDTH,HEIGHT,COORDFRONTX,COORDFRONTY,COORDFRONTZ,COORDREARX,COORDREARY,COORDREARZ,PEDROUTSTA\PEDROUTDECSTA,ORIENTATION,SIMSEC
1,200,0.35,0.49,1.6,-341.646,-164.262,6,-341.993,-164.301,6,1,0.994 0.112,46
2,100,0.47,0.55,1.8,-345.277,-165.579,6,-345.612,-165.911,6,1,0.710 0.704,46
3,100,0.47,0.57,1.78,-342.365,-164.269,6,-342.837,-164.312,6,1,0.996 0.092,46
4,100,0.46,0.59,1.69,-345.794,-166.149,6,-346.172,-166.409,6,1,0.824 0.566,46
5,200,0.3,0.46,1.59,-352.636,-166.648,6,-352.937,-166.621,6,1,0.996 -0.089,46
6,100,0.44,0.58,1.84,-353.557,-166.488,6,-353.996,-166.51,6,1,0.999 0.051,46
7,200,0.4,0.47,1.66,-361.779,-167.323,6,-362.18,-167.313,6,1,1.000 -0.025,46
8,200,0.32,0.46,1.59,-362.723,-167.289,6,-363.047,-167.26,6,1,0.996 -0.086,46
9,100,0.4,0.64,1.8,-354.363,-166.435,6,-354.751,-166.535,6,1,0.968 0.249,46
10,100,0.45,0.59,1.77,-357.073,-168.731,6,-357.374,-169.062,6,1,0.673 0.739,46
11,100,0.45,0.6,1.89,-357.712,-169.451,6,-358.04,-169.753,6,1,0.734 0.679,46
12,100,0.44,0.6,1.83,-358.684,-170.204,6,-359.097,-170.37,6,1,0.928 0.373,46
13,100,0.45,0.6,1.88,-359.743,-170.535,6,-360.192,-170.563,6,1,0.998 0.061,46
14,100,0.45,0.56,1.72,-362.917,-170.899,6,-363.359,-170.998,6,1,0.976 0.219,46
15,200,0.39,0.49,1.59,-367.683,-170.799,6,-368.012,-171.003,6,1,0.849 0.528,46
16,100,0.4,0.62,1.77,-368.404,-171.298,6,-368.736,-171.529,6,1,0.820 0.572,46
17,100,0.47,0.6,1.85,-369.002,-171.992,6,-369.382,-172.267,6,1,0.810 0.586,46
18,100,0.45,0.58,1.96,-369.653,-172.46,6,-370.041,-172.688,6,1,0.862 0.508,46
19,100,0.45,0.61,1.9,-373.752,-172.652,6,-374.149,-172.444,6,1,0.886 -0.464,46
20,200,0.41,0.5,1.63,-372.99,-172.724,6,-373.348,-172.526,6,1,0.876 -0.482,46
21,100,0.45,0.55,1.86,-373.794,-171.899,6,-374.171,-171.661,6,1,0.846 -0.533,46
22,100,0.41,0.65,1.78,-376.438,-170.482,6,-376.758,-170.232,6,1,0.789 -0.614,46
23,100,0.44,0.6,1.68,-377.34,-169.783,6,-377.685,-169.512,6,1,0.787 -0.617,46
24,200,0.39,0.5,1.65,-379.035,-168.108,6,-379.404,-167.985,6,1,0.948 -0.317,46
25,100,0.4,0.64,1.61,-379.08,-168.977,6,-379.445,-168.825,6,1,0.923 -0.386,46
26,100,0.4,0.65,1.68,-380.27,-168.678,6,-380.661,-168.595,6,1,0.978 -0.208,46
