$PEDESTRIAN:NO,PEDTYPE,LENGTH,WIDTH,HEIGHT,COORDFRONTX,COORDFRONTY,COORDFRONTZ,COORDREARX,COORDREARY,COORDREARZ,PEDROUTSTA\PEDROUTDECSTA,ORIENTATION,SIMSEC
1,200,0.35,0.49,1.6,-345.761,-166.056,6,-346.042,-166.265,6,1,0.802 0.597,42
2,100,0.47,0.55,1.8,-349.115,-166.954,6,-349.582,-166.886,6,1,0.990 -0.143,42
3,100,0.47,0.57,1.78,-346.358,-166.371,6,-346.777,-166.591,6,1,0.885 0.465,42
4,100,0.46,0.59,1.69,-349.843,-166.913,6,-350.298,-166.848,6,1,0.990 -0.143,42
5,200,0.3,0.46,1.59,-356.232,-167.833,6,-356.446,-168.046,6,1,0.709 0.706,42
6,100,0.44,0.58,1.84,-356.854,-168.55,6,-357.168,-168.857,6,1,0.715 0.700,42
7,200,0.4,0.47,1.66,-364.715,-167.401,6,-365.084,-167.56,6,1,0.919 0.395,42
8,200,0.32,0.46,1.59,-365.716,-167.695,6,-365.99,-167.869,6,1,0.843 0.537,42
9,100,0.4,0.64,1.8,-357.402,-169.13,6,-357.679,-169.418,6,1,0.694 0.720,42
10,100,0.45,0.59,1.77,-360.928,-170.524,6,-361.375,-170.535,6,1,1.000 0.024,42
11,100,0.45,0.6,1.89,-361.87,-170.542,6,-362.309,-170.616,6,1,0.986 0.166,42
12,100,0.44,0.6,1.83,-363.223,-170.914,6,-363.66,-170.993,6,1,0.984 0.177,42
13,100,0.45,0.6,1.88,-364.397,-170.958,6,-364.839,-170.88,6,1,0.985 -0.173,42
14,100,0.45,0.56,1.72,-367.203,-170.584,6,-367.613,-170.776,6,1,0.906 0.424,42
15,200,0.39,0.49,1.59,-370.722,-172.809,6,-371.096,-172.909,6,1,0.966 0.259,42
16,100,0.4,0.62,1.77,-371.601,-173.049,6,-372.006,-173.039,6,1,1.000 -0.024,42
17,100,0.47,0.6,1.85,-372.476,-172.931,6,-372.9,-172.731,6,1,0.904 -0.427,42
18,100,0.45,0.58,1.96,-373.22,-172.722,6,-373.641,-172.565,6,1,0.937 -0.350,42
19,100,0.45,0.61,1.9,-376.967,-170.268,6,-377.317,-169.99,6,1,0.784 -0.621,42
20,200,0.41,0.5,1.63,-376.299,-170.518,6,-376.625,-170.271,6,1,0.797 -0.605,42
21,100,0.45,0.55,1.86,-377.369,-169.557,6,-377.75,-169.324,6,1,0.854 -0.521,42
22,100,0.41,0.65,1.78,-379.943,-168.358,6,-380.34,-168.273,6,1,0.978 -0.209,42
23,100,0.44,0.6,1.68,-381.159,-168.08,6,-381.581,-167.956,6,1,0.960 -0.282,42
24,200,0.39,0.5,1.65,-382.509,-167.546,6,-382.249,-167.258,6,1,-1.413,42
