$PEDESTRIAN:NO,PEDTYPE,LENGTH,WIDTH,HEIGHT,COORDFRONTX,COORDFRONTY,COORDFRONTZ,COORDREARX,COORDREARY,COORDREARZ,PEDROUTSTA\PEDROUTDECSTA,ORIENTATION,SIMSEC
1,200,0.35,0.49,1.6,-368.235,-171.178,6,-368.52,-171.38,6,1,0.817 0.577,20.5
2,100,0.47,0.55,1.8,-369.869,-172.42,6,-370.289,-172.636,6,1,0.889 0.458,20.5
3,100,0.47,0.57,1.78,-370.524,-172.87,6,-370.986,-172.973,6,1,0.976 0.219,20.5
4,100,0.46,0.59,1.69,-371.371,-173.034,6,-371.829,-173.078,6,1,0.995 0.095,20.5
5,200,0.3,0.46,1.59,-375.353,-171.24,6,-375.598,-171.064,6,1,0.812 -0.583,20.5
6,100,0.44,0.58,1.84,-376.3,-170.536,6,-376.655,-170.277,6,1,0.808 -0.589,20.5
7,200,0.4,0.47,1.66,-377.675,-169.77,6,-377.995,-169.528,6,1,0.797 -0.605,20.5
8,200,0.32,0.46,1.59,-378.674,-168.434,6,-378.948,-168.259,6,1,0.843 -0.538,20.5
9,100,0.4,0.64,1.8,-377.866,-169.186,6,-378.22,-168.999,6,1,0.885 -0.467,20.5
10,100,0.45,0.59,1.77,-379.318,-168.979,6,-379.72,-168.782,6,1,0.897 -0.441,20.5
11,100,0.45,0.6,1.89,-381.472,-167.825,6,-381.905,-167.718,6,1,0.971 -0.240,20.5
