$PEDESTRIAN:NO,PEDTYPE,LENGTH,WIDTH,HEIGHT,COORDFRONTX,COORDFRONTY,COORDFRONTZ,COORDREARX,COORDREARY,COORDREARZ,PEDROUTSTA\PEDROUTDECSTA,ORIENTATION,SIMSEC
1,200,0.35,0.49,1.6,-352.441,-166.618,6,-352.789,-166.58,6,1,0.994 -0.108,36
2,100,0.47,0.55,1.8,-355.436,-166.369,6,-355.907,-166.39,6,1,0.999 0.044,36
3,100,0.47,0.57,1.78,-353.154,-166.486,6,-353.628,-166.487,6,1,1.000 0.003,36
4,100,0.46,0.59,1.69,-356.168,-166.38,6,-356.626,-166.414,6,1,0.997 0.074,36
5,200,0.3,0.46,1.59,-361.281,-170.523,6,-361.582,-170.546,6,1,0.997 0.077,36
6,100,0.44,0.58,1.84,-362.193,-170.635,6,-362.613,-170.765,6,1,0.955 0.295,36
7,200,0.4,0.47,1.66,-368.027,-170.675,6,-368.314,-170.956,6,1,0.715 0.699,36
8,200,0.32,0.46,1.59,-369.081,-171.427,6,-369.31,-171.656,6,1,0.706 0.708,36
9,100,0.4,0.64,1.8,-362.891,-170.754,6,-363.267,-170.891,6,1,0.939 0.344,36
10,100,0.45,0.59,1.77,-367.521,-171.412,6,-367.906,-171.64,6,1,0.860 0.510,36
11,100,0.45,0.6,1.89,-368.371,-171.999,6,-368.689,-172.311,6,1,0.714 0.700,36
12,100,0.44,0.6,1.83,-369.557,-172.2,6,-369.938,-172.429,6,1,0.857 0.515,36
13,100,0.45,0.6,1.88,-370.269,-172.802,6,-370.687,-172.968,6,1,0.930 0.368,36
14,100,0.45,0.56,1.72,-372.775,-172.875,6,-373.191,-172.697,6,1,0.920 -0.393,36
15,200,0.39,0.49,1.59,-375.606,-171.053,6,-375.918,-170.825,6,1,0.808 -0.590,36
16,100,0.4,0.62,1.77,-376.342,-170.566,6,-376.654,-170.309,6,1,0.772 -0.635,36
17,100,0.47,0.6,1.85,-377.04,-169.917,6,-377.425,-169.649,6,1,0.821 -0.571,36
18,100,0.45,0.58,1.96,-377.915,-169.2,6,-378.294,-168.957,6,1,0.842 -0.539,36
19,100,0.45,0.61,1.9,-382.325,-167.738,6,-382.758,-167.624,6,1,0.967 -0.255,36
