$PEDESTRIAN:NO,PEDTYPE,LENGTH,WIDTH,HEIGHT,COORDFRONTX,COORDFRONTY,COORDFRONTZ,COORDREARX,COORDREARY,COORDREARZ,PEDROUTSTA\PEDROUTDECSTA,ORIENTATION,SIMSEC
1,200,0.35,0.49,1.6,-362.378,-170.689,6,-362.715,-170.78,6,1,0.965 0.261,26
2,100,0.47,0.55,1.8,-365.641,-168.344,6,-365.837,-168.773,6,1,0.415 0.910,26
3,100,0.47,0.57,1.78,-364.351,-171.007,6,-364.821,-170.951,6,1,0.993 -0.118,26
4,100,0.46,0.59,1.69,-366.189,-169.231,6,-366.421,-169.627,6,1,0.506 0.863,26
5,200,0.3,0.46,1.59,-370.526,-172.627,6,-370.808,-172.735,6,1,0.934 0.358,26
6,100,0.44,0.58,1.84,-371.49,-172.995,6,-371.929,-172.999,6,1,1.000 0.009,26
7,200,0.4,0.47,1.66,-374.767,-171.805,6,-375.119,-171.612,6,1,0.877 -0.480,26
8,200,0.32,0.46,1.59,-375.231,-170.868,6,-375.502,-170.688,6,1,0.833 -0.553,26
9,100,0.4,0.64,1.8,-372.235,-172.98,6,-372.635,-172.948,6,1,0.997 -0.079,26
10,100,0.45,0.59,1.77,-375.557,-171.667,6,-375.926,-171.414,6,1,0.824 -0.567,26
11,100,0.45,0.6,1.89,-376.309,-170.494,6,-376.644,-170.2,6,1,0.752 -0.659,26
12,100,0.44,0.6,1.83,-377.896,-169.328,6,-378.268,-169.084,6,1,0.836 -0.549,26
13,100,0.45,0.6,1.88,-380.328,-168.653,6,-380.697,-168.909,6,1,0.822 0.570,26
