$PEDESTRIAN:NO,PEDTYPE,LENGTH,WIDTH,HEIGHT,COORDFRONTX,COORDFRONTY,COORDFRONTZ,COORDREARX,COORDREARY,COORDREARZ,PEDROUTSTA\PEDROUTDECSTA,ORIENTATION,SIMSEC
1,200,0.35,0.49,1.6,-337.076,-163.74,6,-337.414,-163.829,6,1,0.967 0.256,50
2,100,0.47,0.55,1.8,-341.273,-164.191,6,-341.741,-164.248,6,1,0.993 0.121,50
3,100,0.47,0.57,1.78,-337.768,-163.955,6,-338.24,-163.99,6,1,0.997 0.075,50
4,100,0.46,0.59,1.69,-342.029,-164.266,6,-342.483,-164.334,6,1,0.989 0.147,50
5,200,0.3,0.46,1.59,-348.655,-166.996,6,-348.957,-166.984,6,1,0.999 -0.041,50
6,100,0.44,0.58,1.84,-349.569,-166.964,6,-350.004,-166.907,6,1,0.992 -0.129,50
7,200,0.4,0.47,1.66,-359.048,-166.679,6,-359.444,-166.744,6,1,0.987 0.164,50
8,200,0.32,0.46,1.59,-359.877,-166.961,6,-360.179,-167.077,6,1,0.933 0.360,50
9,100,0.4,0.64,1.8,-350.103,-166.408,6,-350.502,-166.374,6,1,0.996 -0.085,50
10,100,0.45,0.59,1.77,-353.477,-166.492,6,-353.924,-166.5,6,1,1.000 0.018,50
11,100,0.45,0.6,1.89,-354.461,-166.531,6,-354.88,-166.683,6,1,0.940 0.342,50
12,100,0.44,0.6,1.83,-355.418,-167.115,6,-355.741,-167.421,6,1,0.726 0.688,50
13,100,0.45,0.6,1.88,-356.268,-167.775,6,-356.584,-168.095,6,1,0.702 0.712,50
14,100,0.45,0.56,1.72,-358.533,-170.186,6,-358.946,-170.372,6,1,0.912 0.410,50
15,200,0.39,0.49,1.59,-364.02,-170.955,6,-364.406,-170.923,6,1,0.996 -0.084,50
16,100,0.4,0.62,1.77,-364.891,-170.763,6,-365.284,-170.664,6,1,0.970 -0.244,50
17,100,0.47,0.6,1.85,-365.666,-170.732,6,-366.135,-170.713,6,1,0.999 -0.040,50
18,100,0.45,0.58,1.96,-366.342,-170.499,6,-366.792,-170.521,6,1,0.999 0.048,50
19,100,0.45,0.61,1.9,-369.539,-172.893,6,-369.916,-173.133,6,1,0.844 0.537,50
20,200,0.41,0.5,1.63,-369.387,-171.984,6,-369.708,-172.238,6,1,0.785 0.620,50
21,100,0.45,0.55,1.86,-370.226,-172.25,6,-370.576,-172.526,6,1,0.786 0.619,50
22,100,0.41,0.65,1.78,-373.012,-172.795,6,-373.378,-172.62,6,1,0.903 -0.430,50
23,100,0.44,0.6,1.68,-373.971,-172.158,6,-374.326,-171.899,6,1,0.809 -0.588,50
24,200,0.39,0.5,1.65,-376.579,-170.116,6,-376.873,-169.863,6,1,0.757 -0.653,50
25,100,0.4,0.64,1.61,-375.612,-171.093,6,-375.952,-170.889,6,1,0.857 -0.515,50
26,100,0.4,0.65,1.68,-377.479,-169.829,6,-377.82,-169.619,6,1,0.852 -0.524,50
27,100,0.43,0.57,1.86,-379.065,-168.22,6,-379.483,-168.128,6,1,0.977 -0.215,50
28,200,0.32,0.44,1.61,-381.607,-167.325,6,-381.898,-167.198,6,1,0.916 -0.400,50
29,100,0.42,0.63,1.94,-379.941,-168.604,6,-380.365,-168.604,6,1,1.000 0.001,50
