$PEDESTRIAN:NO,PEDTYPE,LENGTH,WIDTH,HEIGHT,COORDFRONTX,COORDFRONTY,COORDFRONTZ,COORDREARX,COORDREARY,COORDREARZ,PEDROUTSTA\PEDROUTDECSTA,ORIENTATION,SIMSEC
1,200,0.35,0.49,1.6,-366.725,-170.539,6,-367.07,-170.595,6,1,0.987 0.159,22
2,100,0.47,0.55,1.8,-368.572,-171.433,6,-368.939,-171.73,6,1,0.777 0.629,22
3,100,0.47,0.57,1.78,-368.978,-172.05,6,-369.367,-172.32,6,1,0.821 0.571,22
4,100,0.46,0.59,1.69,-369.778,-172.445,6,-370.174,-172.678,6,1,0.862 0.508,22
5,200,0.3,0.46,1.59,-374.168,-172.04,6,-374.422,-171.875,6,1,0.838 -0.545,22
6,100,0.44,0.58,1.84,-375.082,-171.388,6,-375.437,-171.129,6,1,0.808 -0.589,22
7,200,0.4,0.47,1.66,-376.867,-170.564,6,-377.149,-170.278,6,1,0.702 -0.712,22
8,200,0.32,0.46,1.59,-377.809,-169.078,6,-378.074,-168.891,6,1,0.817 -0.576,22
9,100,0.4,0.64,1.8,-376.36,-169.981,6,-376.687,-169.75,6,1,0.816 -0.578,22
10,100,0.45,0.59,1.77,-378.276,-169.55,6,-378.672,-169.344,6,1,0.887 -0.462,22
11,100,0.45,0.6,1.89,-379.846,-168.191,6,-380.278,-168.083,6,1,0.971 -0.241,22
12,100,0.44,0.6,1.83,-382.334,-168.048,6,-382.777,-168.009,6,1,0.996 -0.088,22
