$PEDESTRIAN:NO,PEDTYPE,LENGTH,WIDTH,HEIGHT,COORDFRONTX,COORDFRONTY,COORDFRONTZ,COORDREARX,COORDREARY,COORDREARZ,PEDROUTSTA\PEDROUTDECSTA,ORIENTATION,SIMSEC
1,200,0.35,0.49,1.6,-363.454,-170.94,6,-363.803,-170.957,6,1,0.999 0.051,25
2,100,0.47,0.55,1.8,-366.039,-169.371,6,-366.227,-169.804,6,1,0.398 0.918,25
3,100,0.47,0.57,1.78,-365.747,-170.859,6,-366.22,-170.877,6,1,0.999 0.038,25
4,100,0.46,0.59,1.69,-366.994,-170.281,6,-367.385,-170.523,6,1,0.850 0.527,25
5,200,0.3,0.46,1.59,-371.471,-172.904,6,-371.771,-172.935,6,1,0.994 0.105,25
6,100,0.44,0.58,1.84,-372.499,-172.918,6,-372.905,-172.75,6,1,0.924 -0.382,25
7,200,0.4,0.47,1.66,-375.335,-171.501,6,-375.691,-171.316,6,1,0.887 -0.462,25
8,200,0.32,0.46,1.59,-375.863,-170.482,6,-376.112,-170.274,6,1,0.767 -0.642,25
9,100,0.4,0.64,1.8,-373.29,-172.675,6,-373.635,-172.472,6,1,0.861 -0.509,25
10,100,0.45,0.59,1.77,-376.305,-171.147,6,-376.686,-170.914,6,1,0.853 -0.522,25
11,100,0.45,0.6,1.89,-377.053,-169.824,6,-377.421,-169.573,6,1,0.825 -0.565,25
12,100,0.44,0.6,1.83,-378.838,-168.746,6,-379.241,-168.559,6,1,0.907 -0.421,25
