$PEDESTRIAN:NO,PEDTYPE,LENGTH,WIDTH,HEIGHT,COORDFRONTX,COORDFRONTY,COORDFRONTZ,COORDREARX,COORDREARY,COORDREARZ,PEDROUTSTA\PEDROUTDECSTA,ORIENTATION,SIMSEC
1,200,0.35,0.49,1.6,-365.637,-170.663,6,-365.979,-170.589,6,1,0.978 -0.210,23
2,100,0.47,0.55,1.8,-367.679,-170.762,6,-368.064,-171.033,6,1,0.818 0.576,23
3,100,0.47,0.57,1.78,-368.101,-171.389,6,-368.483,-171.668,6,1,0.808 0.590,23
4,100,0.46,0.59,1.69,-368.924,-171.747,6,-369.277,-172.041,6,1,0.769 0.640,23
5,200,0.3,0.46,1.59,-373.341,-172.538,6,-373.603,-172.388,6,1,0.868 -0.497,23
6,100,0.44,0.58,1.84,-374.254,-171.971,6,-374.613,-171.717,6,1,0.817 -0.577,23
7,200,0.4,0.47,1.66,-376.4,-170.977,6,-376.73,-170.749,6,1,0.822 -0.570,23
8,200,0.32,0.46,1.59,-377.114,-169.478,6,-377.374,-169.284,6,1,0.800 -0.600,23
9,100,0.4,0.64,1.8,-375.319,-170.862,6,-375.614,-170.591,6,1,0.737 -0.676,23
10,100,0.45,0.59,1.77,-377.624,-170.044,6,-377.994,-169.792,6,1,0.827 -0.562,23
11,100,0.45,0.6,1.89,-378.82,-168.637,6,-379.219,-168.438,6,1,0.895 -0.446,23
12,100,0.44,0.6,1.83,-381.17,-168.161,6,-381.613,-168.119,6,1,0.996 -0.094,23
