$PEDESTRIAN:NO,PEDTYPE,LENGTH,WIDTH,HEIGHT,COORDFRONTX,COORDFRONTY,COORDFRONTZ,COORDREARX,COORDREARY,COORDREARZ,PEDROUTSTA\PEDROUTDECSTA,ORIENTATION,SIMSEC
1,200,0.35,0.49,1.6,-368.686,-171.502,6,-368.966,-171.71,6,1,0.803 0.596,20
2,100,0.47,0.55,1.8,-370.358,-172.669,6,-370.801,-172.832,6,1,0.938 0.346,20
3,100,0.47,0.57,1.78,-371.068,-172.972,6,-371.541,-172.961,6,1,1.000 -0.023,20
4,100,0.46,0.59,1.69,-371.951,-173.071,6,-372.406,-173.011,6,1,0.991 -0.132,20
5,200,0.3,0.46,1.59,-375.747,-170.957,6,-375.997,-170.788,6,1,0.828 -0.560,20
6,100,0.44,0.58,1.84,-376.706,-170.238,6,-377.055,-169.972,6,1,0.795 -0.607,20
7,200,0.4,0.47,1.66,-377.985,-169.532,6,-378.318,-169.309,6,1,0.830 -0.557,20
8,200,0.32,0.46,1.59,-378.975,-168.257,6,-379.269,-168.118,6,1,0.904 -0.427,20
9,100,0.4,0.64,1.8,-378.272,-169.025,6,-378.631,-168.847,6,1,0.896 -0.443,20
10,100,0.45,0.59,1.77,-379.588,-168.803,6,-379.996,-168.619,6,1,0.912 -0.411,20
11,100,0.45,0.6,1.89,-382.016,-167.695,6,-382.445,-167.575,6,1,0.963 -0.268,20
