$PEDESTRIAN:NO,PEDTYPE,LENGTH,WIDTH,HEIGHT,COORDFRONTX,COORDFRONTY,COORDFRONTZ,COORDREARX,COORDREARY,COORDREARZ,PEDROUTSTA\PEDROUTDECSTA,ORIENTATION,SIMSEC
1,200,0.35,0.49,1.6,-327.022,-158.61,6,-327.341,-158.754,6,1,0.911 0.411,60
2,100,0.47,0.55,1.8,-331.021,-160.608,6,-331.455,-160.792,6,1,0.921 0.389,60
3,100,0.47,0.57,1.78,-325.743,-159.061,6,-326.165,-159.277,6,1,0.890 0.456,60
4,100,0.46,0.59,1.69,-331.715,-161.065,6,-332.15,-161.211,6,1,0.949 0.316,60
5,200,0.3,0.46,1.59,-339.185,-164.347,6,-339.485,-164.378,6,1,0.995 0.103,60
6,100,0.44,0.58,1.84,-340.91,-164.137,6,-341.349,-164.172,6,1,0.997 0.079,60
7,200,0.4,0.47,1.66,-352.077,-166.558,6,-352.474,-166.499,6,1,0.989 -0.147,60
8,200,0.32,0.46,1.59,-352.998,-166.383,6,-353.318,-166.329,6,1,0.986 -0.169,60
9,100,0.4,0.64,1.8,-338.352,-163.775,6,-338.752,-163.746,6,1,0.997 -0.071,60
10,100,0.45,0.59,1.77,-343.436,-164.517,6,-343.863,-164.647,6,1,0.957 0.291,60
11,100,0.45,0.6,1.89,-344.317,-164.852,6,-344.696,-165.085,6,1,0.852 0.523,60
12,100,0.44,0.6,1.83,-345.174,-165.542,6,-345.473,-165.871,6,1,0.674 0.739,60
13,100,0.45,0.6,1.88,-345.828,-166.251,6,-346.163,-166.551,6,1,0.746 0.666,60
14,100,0.45,0.56,1.72,-348.692,-167.038,6,-349.143,-166.986,6,1,0.993 -0.116,60
15,200,0.39,0.49,1.59,-355.997,-167.504,6,-356.268,-167.78,6,1,0.702 0.712,60
16,100,0.4,0.62,1.77,-356.465,-168.238,6,-356.747,-168.528,6,1,0.697 0.717,60
17,100,0.47,0.6,1.85,-357.071,-168.845,6,-357.391,-169.188,6,1,0.683 0.731,60
18,100,0.45,0.58,1.96,-357.839,-169.277,6,-358.183,-169.567,6,1,0.764 0.645,60
19,100,0.45,0.61,1.9,-358.374,-170.181,6,-358.78,-170.37,6,1,0.907 0.421,60
20,200,0.41,0.5,1.63,-361.913,-167.374,6,-362.322,-167.357,6,1,0.999 -0.043,60
21,100,0.45,0.55,1.86,-359.069,-166.56,6,-359.497,-166.688,6,1,0.958 0.288,60
22,100,0.41,0.65,1.78,-362.974,-170.868,6,-363.373,-170.943,6,1,0.982 0.186,60
23,100,0.44,0.6,1.68,-364.264,-171.053,6,-364.698,-170.984,6,1,0.987 -0.159,60
24,200,0.39,0.5,1.65,-368.944,-171.727,6,-369.246,-171.971,6,1,0.777 0.630,60
25,100,0.4,0.64,1.61,-366.733,-169.99,6,-367.008,-170.275,6,1,0.694 0.720,60
26,100,0.4,0.65,1.68,-369.89,-172.39,6,-370.248,-172.57,6,1,0.893 0.450,60
27,100,0.43,0.57,1.86,-370.829,-172.812,6,-371.23,-172.962,6,1,0.936 0.352,60
28,200,0.32,0.44,1.61,-375.367,-171.237,6,-375.626,-171.052,6,1,0.814 -0.581,60
29,100,0.42,0.63,1.94,-370.752,-173.572,6,-371.174,-173.607,6,1,0.997 0.083,60
30,100,0.43,0.61,1.65,-376.062,-170.695,6,-376.389,-170.418,6,1,0.763 -0.646,60
31,200,0.35,0.44,1.55,-377.536,-169.615,6,-377.811,-169.401,6,1,0.790 -0.613,60
32,100,0.43,0.59,1.77,-379.279,-168.257,6,-379.7,-168.15,6,1,0.970 -0.245,60
33,200,0.41,0.5,1.69,-380.046,-168.657,6,-380.457,-168.641,6,1,0.999 -0.040,60
34,200,0.38,0.51,1.57,-381.952,-167.87,6,-382.327,-167.798,6,1,0.982 -0.188,60
35,100,0.42,0.59,1.84,-381.079,-168.87,6,-381.427,-169.113,6,1,0.820 0.572,60
