$PEDESTRIAN:NO,PEDTYPE,LENGTH,WIDTH,HEIGHT,COORDFRONTX,COORDFRONTY,COORDFRONTZ,COORDREARX,COORDREARY,COORDREARZ,PEDROUTSTA\PEDROUTDECSTA,ORIENTATION,SIMSEC
1,200,0.35,0.49,1.6,-367.263,-170.65,6,-367.585,-170.788,6,1,0.918 0.395,21.5
2,100,0.47,0.55,1.8,-368.995,-171.779,6,-369.369,-172.067,6,1,0.792 0.611,21.5
3,100,0.47,0.57,1.78,-369.468,-172.382,6,-369.87,-172.632,6,1,0.849 0.529,21.5
4,100,0.46,0.59,1.69,-370.273,-172.724,6,-370.696,-172.904,6,1,0.919 0.393,21.5
5,200,0.3,0.46,1.59,-374.567,-171.779,6,-374.817,-171.61,6,1,0.830 -0.558,21.5
6,100,0.44,0.58,1.84,-375.484,-171.1,6,-375.842,-170.845,6,1,0.814 -0.580,21.5
7,200,0.4,0.47,1.66,-377.117,-170.298,6,-377.403,-170.016,6,1,0.711 -0.704,21.5
8,200,0.32,0.46,1.59,-378.118,-168.861,6,-378.351,-168.635,6,1,0.718 -0.696,21.5
9,100,0.4,0.64,1.8,-376.895,-169.639,6,-377.229,-169.418,6,1,0.835 -0.550,21.5
10,100,0.45,0.59,1.77,-378.682,-169.332,6,-379.084,-169.135,6,1,0.898 -0.441,21.5
11,100,0.45,0.6,1.89,-380.392,-168.061,6,-380.825,-167.955,6,1,0.971 -0.238,21.5
12,100,0.44,0.6,1.83,-382.838,-168.043,6,-383.266,-167.92,6,1,0.961 -0.277,21.5
