$PEDESTRIAN:NO,PEDTYPE,LENGTH,WIDTH,HEIGHT,COORDFRONTX,COORDFRONTY,COORDFRONTZ,COORDREARX,COORDREARY,COORDREARZ
5,200,0.3,0.46,1.59,-331.788,-116.935,1,-331.802,-117.236,1
6,100,0.44,0.58,1.84,-331.843,-118.018,1,-331.931,-118.448,1
7,200,0.4,0.47,1.66,-328.537,-145.31,6,-328.268,-145.607,6
8,200,0.32,0.46,1.59,-332.492,-136.235,4,-332.474,-136.559,4
10,100,0.45,0.59,1.77,-332.095,-119.101,1,-332.249,-119.521,1
11,100,0.45,0.6,1.89,-332.381,-119.923,1,-332.401,-120.368,1
12,100,0.44,0.6,1.83,-332.498,-120.933,1.35,-332.481,-121.377,1.35
13,100,0.45,0.6,1.88,-332.431,-121.869,1.6,-332.425,-122.319,1.6
14,100,0.45,0.56,1.72,-332.403,-123.038,1.9,-332.401,-123.491,1.9
15,200,0.39,0.49,1.59,-327.347,-146.17,6,-327.115,-146.48,6
16,100,0.4,0.62,1.77,-330.156,-142.635,5.867,-330.004,-143.011,5.867
17,100,0.47,0.6,1.85,-332.091,-138.13,4.4,-331.904,-138.56,4.4
18,100,0.45,0.58,1.96,-332.685,-124.845,2.4,-332.788,-125.283,2.4
19,100,0.45,0.61,1.9,-332.393,-136.971,4,-332.293,-137.407,4
20,200,0.41,0.5,1.63,-325.653,-148.068,6,-325.358,-148.352,6
21,100,0.45,0.55,1.86,-332.504,-123.853,2.1,-332.53,-124.298,2.1
22,100,0.41,0.65,1.78,-326.944,-146.883,6,-326.663,-147.177,6
23,100,0.44,0.6,1.68,-329.098,-144.106,6,-328.719,-144.329,6
24,200,0.39,0.5,1.65,-324.017,-149.995,6,-323.744,-150.27,6
25,100,0.4,0.64,1.61,-324.705,-147.676,6,-324.43,-147.961,6
26,100,0.4,0.65,1.68,-323.043,-150.529,6,-322.792,-150.841,6
27,100,0.43,0.57,1.86,-322.355,-151.203,6,-322.064,-151.517,6
28,200,0.32,0.44,1.61,-327.684,-159.262,6,-327.977,-159.386,6
29,100,0.42,0.63,1.94,-331.187,-140.697,5.2,-331.02,-141.086,5.2
30,100,0.43,0.61,1.65,-320.364,-154.145,6,-320.295,-154.569,6
31,200,0.35,0.44,1.55,-320.876,-156.534,6,-321.188,-156.691,6
32,100,0.43,0.59,1.77,-321.904,-151.736,6,-321.566,-152.009,6
33,200,0.41,0.5,1.69,-330.557,-160.444,6,-330.936,-160.605,6
34,200,0.38,0.51,1.57,-332.258,-161.376,6,-332.62,-161.501,6
35,100,0.42,0.59,1.84,-331.504,-160.452,6,-331.889,-160.632,6
36,100,0.45,0.62,1.95,-333.414,-161.751,6,-333.832,-161.926,6
37,100,0.43,0.59,1.61,-321.137,-152.224,6,-320.891,-152.582,6
38,200,0.34,0.45,1.56,-337.857,-164.035,6,-338.198,-164.052,6
39,100,0.42,0.58,1.59,-334.401,-161.428,6,-334.725,-161.689,6
40,200,0.3,0.45,1.56,-346.06,-166.097,6,-346.309,-166.264,6
41,200,0.33,0.47,1.69,-349.732,-166.769,6,-350.055,-166.702,6
42,100,0.41,0.65,1.64,-338.888,-164.051,6,-339.297,-164.058,6
43,200,0.35,0.44,1.67,-346.66,-166.743,6,-346.974,-166.886,6
