$PEDESTRIAN:NO,PEDTYPE,LENGTH,WIDTH,HEIGHT,COORDFRONTX,COORDFRONTY,COORDFRONTZ,COORDREARX,COORDREARY,COORDREARZ
44,100,0.47,0.57,1.9,-334.119,-162.489,6,-334.569,-162.624,6
45,200,0.41,0.49,1.74,-350.379,-166.577,6,-350.782,-166.497,6
46,200,0.36,0.49,1.68,-340.836,-164.126,6,-341.193,-164.16,6
47,200,0.36,0.44,1.68,-352.002,-167.318,6,-352.35,-167.233,6
48,100,0.46,0.56,1.72,-335.121,-162.32,6,-335.474,-162.622,6
49,100,0.44,0.6,1.66,-343.529,-164.504,6,-343.938,-164.666,6
50,200,0.3,0.48,1.58,-353.753,-166.389,6,-354.047,-166.363,6
51,100,0.44,0.56,1.66,-351.413,-166.448,6,-351.844,-166.374,6
52,200,0.31,0.44,1.65,-354.732,-166.906,6,-355.009,-167.044,6
53,100,0.46,0.59,1.71,-352.18,-166.224,6,-352.643,-166.21,6
54,100,0.47,0.56,1.67,-347.38,-167.149,6,-347.847,-167.201,6
55,200,0.32,0.48,1.69,-359.249,-166.656,6,-359.562,-166.738,6
56,200,0.4,0.49,1.78,-355.834,-167.343,6,-356.133,-167.614,6
57,200,0.41,0.49,1.74,-355.451,-165.739,6,-355.858,-165.777,6
58,200,0.32,0.47,1.59,-356.519,-168.404,6,-356.699,-168.675,6
59,100,0.45,0.56,1.79,-354.902,-166.312,6,-355.305,-166.514,6
60,200,0.31,0.47,1.54,-358.628,-170.176,6,-358.906,-170.315,6
61,100,0.41,0.65,1.58,-356.998,-169.02,6,-357.274,-169.328,6
62,200,0.35,0.46,1.64,-366.545,-170.489,6,-366.892,-170.518,6
63,100,0.46,0.55,1.91,-359.891,-170.616,6,-360.35,-170.611,6
64,100,0.41,0.59,1.65,-367.203,-170.816,6,-367.598,-170.939,6
65,100,0.4,0.65,1.77,-370.96,-173.002,6,-371.358,-173.024,6
66,100,0.42,0.61,1.92,-371.997,-172.979,6,-372.419,-172.934,6
67,100,0.42,0.62,1.63,-374.452,-171.713,6,-374.794,-171.47,6
68,200,0.42,0.5,1.74,-377.479,-169.55,6,-377.809,-169.297,6
69,100,0.46,0.6,1.89,-372.754,-172.926,6,-373.182,-172.769,6
70,200,0.35,0.46,1.63,-378.224,-169.342,6,-378.503,-169.123,6
71,100,0.42,0.63,1.72,-375.207,-171.79,6,-375.542,-171.534,6
72,100,0.44,0.61,1.83,-378.662,-168.953,6,-379.081,-168.815,6
73,200,0.35,0.46,1.64,-379.766,-167.931,6,-380.11,-167.883,6
74,200,0.34,0.53,1.82,-379.543,-168.707,6,-379.87,-168.6,6
75,100,0.46,0.58,1.83,-380.653,-168.662,6,-381.108,-168.613,6
